Variable,Correlation,PValue
solar_radiation,0.06668319070189027,0.5012222539611576
sunshine_duration,0.06668319070189024,0.5012222539611576
vapor_pressure,0.06507405788493043,0.5116290744181574
dew_point,0.05916726062245655,0.5507608682518821
temperature,0.05075359733801491,0.6088879732798845
atmospheric_pressure,-0.018621604197665745,0.8511707193402737
precipitation,-0.019662452619654103,0.8429558018272684
relative_humidity,-0.023141249359027102,0.8156260698594129
wind_speed,-0.02812708650357211,0.7768469426269888
wind_direction,-0.08653801212634443,0.38239502361704003
